Site Name	Program Type	Lattitude	Longitude	Address Line1	Address Line2	City	State	Zip	County	OneDay	OpenDate	CloseDate	Active	Active Date	OpenToPublic	Appointment	ApptPhone	EFile	StateEFile	SERPLanguage	Days & Hours of Operation	Additional Info
Marietta Central/Switzer Library	AARP 	33.9507667	-84.5445974	266 Roswell St Se		Marietta	GA	30060	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705282320	TRUE	TRUE	English	Fri 12:00 pm - 4:00 pm	" Info: NO RETURN STARTED AFTER 3:30 PM CLOSED ON FRIDAY APRIL 3, 2015"
Moultrie-Colquitt County Library	AARP 	31.1777019	-83.7829989	204 5th St Se		Moultrie	GA	31768	Colquitt	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Tues 9:00 am - 4:00 pm	
Norcross Human Services Center	AARP 	33.9202003	-84.1650162	5030 Georgia Belle Ct		Norcross	GA	30093	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	6782255400	TRUE	TRUE	English	"Tues, Thurs 9:00 am - 12:00 pm"	" Info: Photo ID and SS card (including all dependents) required for service. Blank check required for auto deposit. Please bring last year's tax return. This is a first-come, first-served site."
Northeast/Spruill Oaks Regional	AARP 	34.0141563	-84.224823	9560 Spruill Rd		Alpharetta	GA	30022	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7703608820	TRUE	TRUE	English	"Mon 12:00 pm - 5:00 pm, Wed 2:00 pm - 5:00 pm "	"Info: Must bring picture ID, SOC SEC card & last YEAR'S TAX RETURN, also a check for direct deposit of refund. LAST RETURN BEGINS AT 4PM & we are open on Presidents Day."
Sandy Springs Regional Library	AARP 	33.924007	-84.374412	395 Mount Vernon Hwy Ne		Sandy Springs	GA	30328	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4043036130	TRUE	TRUE	English	"Tues 10:15 am - 3:00 pm, Thurs 10:15am - 2:00pm"	" Info: Also open Sat. 2/28 and 3/28 from 1pm to 5pm Please bring ID, soc sec card and last year's tax forms. For direct deposit of refund, please bring a check."
Advent Christian Church	AARP 	31.1540689	-81.4941734	1812 Ellis St		Brunswick	GA	31520	Glynn	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon - Fri 9:00 am - 12:30 pm	
Alpharetta Adult Activity Center	AARP 	34.109241	-84.282051	13450 Cogburn Rd		Alpharetta	GA	30004	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	6782976140	TRUE	TRUE	English	"Mon 3:00 pm - 6:00 pm, Wed 9:00 am - 1:15 pm, Sat 9:00 am - 1:15 pm"	 Info: Please bring the following: -Last Years Tax Return -Photo ID -Blank Check for Direct Deposit First time clients should bring Social Security Cards for every individual claimed on
Athens-Clarke County Library	AARP 	33.9460822	-83.402781	2025 Baxter St		Athens	GA	30606	Clarke	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE		TRUE	FALSE		TRUE	TRUE	English	Tues 12:30 pm - 4:30 pm	
Augusta Richmond County Library	AARP 	33.473136	-81.968368	823 Telfair St		Augusta	GA	30901	Richmond	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7068212600	TRUE	TRUE	English	Wed - Fri 10:00 am - 2:00 pm	" Info: must sign in to get taxes done at least 30 minutes prior to closing. Will try to stay until all clients who signed in by that time have had their returns completed, subject to roo"
Bartow County Sr Center 2	AARP 	34.191949	-84.778212	102 Zena Dr		Cartersville	GA	30121	Bartow	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8004242277	TRUE		English	Wed 12:00 pm - 4:00 pm	
Bethesda Cathedral / Austin Dr	AARP 	33.7322009	-84.2343517	1989 Austin Dr		Decatur	GA	30032	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4045343322	TRUE	TRUE	English	Thurs 10:00 am - 1:30 pm	
Bethesda Park Senior Center	AARP 	33.9146702	-84.0847199	225 Bethesda Church Rd		Lawrenceville	GA	30044	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	6782770179	TRUE	TRUE	English	Tues - Fri 9:00 am - 12:00 pm 	" Info: Bring picture ID, Social Security Cards, all income, interest, dividend, pension & annuity statements, last years tax returns, proof of bank account routing num"
Buck Melton Community Center	AARP 	32.8208313	-83.6493301	150 Sessions Dr		Macon	GA	31201	Bibb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Mon, Wed, Fri 9:00 am - 1:00 pm"	
Buckhead Library	AARP 	33.837795	-84.379058	269 Buckhead Ave Ne		Atlanta	GA	30305	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4048143500	TRUE	TRUE	English	"Mon 11:00 am - 3:00 pm, Thurs 12:00 pm - 4:00 pm"	" Info: Also open Saturday Feb. 21st & Feb 28th from 1:30PM - 4:00PM TAX PREPARATION TAKES TIME, AND WE MAY HAVE TAXPAYERS WAITING AHEAD OF YOU. AVOID HAVING TO COME BACK BY ALLOWING SUFFICIENT TIME."
Camden County Public Library	AARP 	30.7866445	-81.6458879	1410 Hwy 40 E		Kingsland	GA	31548	Camden	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	9127299607	TRUE	TRUE	English	"Tues, Fri 10:15 am - 1:15 pm"	
Chamblee Library	AARP 	33.882309	-84.3087387	4115 Clairmont Rd		Chamblee	GA	30341	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7709361380	TRUE	TRUE	English	"Wed 12:00 pm - 4:00 pm, Fri 10:30 am - 2:30 pm"	 Info: No client returns started after 3:00pm Wednesdays or 1:30pm Fridays. Photo IDs req'd for taxpayers. Social Security cards req'd for taxpayers and all dependents. Blank check req'd for direct deposi
Cherokee Regional Library	AARP 	34.7018	-85.2811541	305 S Duke St		La Fayette	GA	30728	Walker	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7063752451	TRUE	TRUE	English	Tues 10:00 am - 4:00 pm	 Info: Call 706-375-2451 during day during week to make appointment.
Cherokee Senior Center	AARP 	34.1944031	-84.4959059	1001 Univeter Rd		Canton	GA	30115	Cherokee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Wed 1:00 pm - 5:00 pm	
Clarkesville-Habersham Library	AARP 	34.6154677	-83.5244869	178 E Green St		Clarkesville	GA	30523	Habersham	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7067763328	TRUE	TRUE	English	Thurs 9:00 am - 1:00 pm	
Cobb County Senior Wellness Center	AARP 	33.926155	-84.574089	1150 Powder Springs St		Marietta	GA	30064	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705285355	TRUE	TRUE	English	"Mon, Wed 10:00 am - 2:00 pm "	Info: NO RETURN STARTED AFTER 1:30 PM
Columbia County Library	AARP 	33.5465772	-82.1309627	7022 Evans Town Center Blvd		Evans	GA	30809	Columbia	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7068631946	TRUE	TRUE	English	"Tues, Thurs 10:00 am - 2:00 pm"	
Columbus Public Library	AARP 	32.4817114	-84.9410507	3300 Macon Rd		Columbus	GA	31906	Muscogee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7062432669	TRUE	TRUE	English	"Mon, Tues, Thurs, Sat 10:00 am - 1:00pm"	" Info: NOTE: Use entrance at northeast end of building where the drive-up book drop is located. Open every Mon,Tues,Thur, except 2/15. Open Saturdays 2/21, 3/7, 3/21, 4"
Crabapple Senior Citizens Center	AARP 	34.0885511	-84.3394782	12624 Broadwell Rd		Alpharetta	GA	30004	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7707519397	TRUE	TRUE	English	Thurs 1:15 pm - 3:15 pm	
Dade County Library	AARP 	34.8727372	-85.5095308	102 Court Street		Trenton	GA	30752	Dade	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7066577348	TRUE	TRUE	English	"Tues, Thurs 10:00 am - 5:00 pm"	By appointment only on Tuesdays and Thursdays 10AM to 5PM. Call 706-657-7348 for an appointment.
Dalton Regional Library	AARP 	34.7751752	-84.9781691	310 Cappes St		Dalton	GA	30720	Whitfield	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7062264040	TRUE	TRUE	"Spanish,English"	"Tues, Fri 10:15 am - 3:30 pm, Sat 10:15 am - 1:00 pm"	
Decatur Recreation Center	AARP 	33.773422	-84.293426	231 Sycamore St		Decatur	GA	30030	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4043770494	TRUE	TRUE	English	"Mon, Wed, Fri 10:00 am - 2:00 pm"	Info: The Decatur Recreation Center staff is not trained to answer tax-related questions. Please direct tax-related questions to AARP Tax-Aide volunteers when they are on site.
Doctors Hospital H2U Bldg	AARP 	33.489738	-82.095809	1305 Interstate Pkwy		Augusta	GA	30909	Richmond	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7066516716	TRUE	TRUE	English	"Mon, Tues 9:00 am - 1:00 pm"	
Dunwoody Library	AARP 	33.9446472	-84.3326855	5339 Chamblee Dunwoody Rd		Dunwoody	GA	30338	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705124640	TRUE	TRUE	English	"Mon, Wed 10:00 am - 4:00 pm"	 Info: We schedule appts one day each at: Dunwoody Pines Senior Center Helenic Tower Huntcliff Summit
East Cobb Government Service Ctr	AARP 	33.963351	-84.4229673	4400 Lower Roswell Rd		Marietta	GA	30068	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE		English	Fri 10:00 am - 2:00 pm	" Info: NO RETURN STARTED AFTER 1:30 PM CLOSED ON FRIDAY APRIL 3, 2015"
East Cobb Library	AARP 	33.9636574	-84.4081268	4880 Lower Roswell Rd Ste 510b		Marietta	GA	30068	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705092730	TRUE	TRUE	"Spanish,English"	Tues 10:30 am - 2:00 pm	
Fairfield Baptist Church	AARP 	33.7458344	-84.1480942	6133 Redan Rd		Lithonia	GA	30058	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7704841483	TRUE	TRUE	English	"Tues 10:00 am - 2:00 pm, Thurs 10:00 am - 1:30 pm"	
Fayetteville First Baptist Church	AARP 	33.4476607	-84.4523972	205 Stonewall Ave E		Fayetteville	GA	30214	Fayette	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Tues 9:00 am - 1:00 pm	
First Christian Church	AARP 	33.559707	-84.23854	102 Valley Hill Rd		Stockbridge	GA	30281	Henry	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7704122940	TRUE	TRUE	English	Fri 9:00 am - 3:00 pm	 Info: Call to make an appointment at (770) 412-2940. Leave name and telephone number on voice mail.
First Presbyterian Church	AARP 	34.5802047	-83.3279769	205 E Tugalo St		Toccoa	GA	30577	Stephens	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7068868342	TRUE	TRUE	English	Tues 9:00 am - 1:00 pm	
Forsyth Cnty Parks Rec At Center	AARP 	34.2453957	-84.1005554	2300 Keith Bridge Rd		Cumming	GA	30040	Forsyth	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7707442549	TRUE	TRUE	English	"Tues 9:00 am - 2:00 pm, Sat 8:00 am - 12:00 pm"	" Info: Tues: 1st Come, 1st Serve. Sat: App't only Bring photo IDs & SS cards for TP & dependents;all income, interest, dividend, & pension & annuity statements & ALL HEALTH INSURANCE INFO. Bring last yea"
Fort Oglethorpe United Methodist Church	AARP 	34.9486946	-85.235576	1733 Battlefield Pkwy		Fort Oglethorpe	GA	30742	Catoosa	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7068616147	TRUE	TRUE	English	Wed 9:00 am - 3:00 pm	
George Pierce Park	AARP 	34.0598112	-84.0623932	55 Buford Hwy		Suwanee	GA	30024	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7708314173	TRUE	TRUE	English	Mon - Fri 9:00 am - 1:00 pm	 Info: Please bring last year's tax return. Also bring your Photo Id and Social Security Card and Health Insurance information. This is a first come
Gordon County Senior Citizens	AARP 	34.5027412	-84.9522563	100 N Park Ave		Calhoun	GA	30701	Gordon	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7062340931	TRUE	TRUE	English	Fri 1:00 pm - 4:00 pm	
Greene County Library	AARP 	33.568721	-83.183029	610 S Main St		Greensboro	GA	30642	Greene	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7064537276	TRUE	TRUE	English	Thurs 1:00 pm - 5:00 pm	" Info: Additional Hours: Sat March 15th 10-1:30PM; Sat, March 29th 10-1:30PM,"
Gritters Library	AARP 	34.025257	-84.5242227	880 Shaw Park Rd		Marietta	GA	30066	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705282524	TRUE	TRUE	English	Mon 10:30 am - 2:30 pm 	Info: NO RETURN STARTED AFTER 2 PM
H J C Bowden Senior Citizens Ctr	AARP 	33.677047	-84.445556	2885 Church St		East Point	GA	30344	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	4047624821	TRUE	TRUE	English	Thurs 9:00 am - 1:00 pm	 Info: BY APPT- AUTOMOBILE ENTRANCE ON DORSEY ST
Hall County Library-Murrayville	AARP 	34.4015083	-83.8915787	4796 Thompson Bridge Rd		Gainesville	GA	30506	Hall	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7705323311	TRUE	TRUE	English	"Mon, Thurs 1:00 pm - 5:00 pm"	
Hapeville Neighborhood Senior	AARP 	33.6585809	-84.4055021	527 King Arnold St		Hapeville	GA	30354	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4047623660	TRUE	TRUE	English	Tues 9:00 am - 1:00 pm	" Info: Arrive before 12:30 p.m. Plan to spend 90 minutes with us. Bring driver's license, social security number, evidence of health insurance,and all income and expense documents."
Hart County Adult Learning Center	AARP 	34.3499686	-82.930615	110 Benson St		Hartwell	GA	30643	Hart	TRUE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7063568888	TRUE	TRUE	English	Mon 11:00 am - 4:00 pm	
Heritage Senior Services Center	AARP 	33.4430936	-84.1252334	1050 Florence Mcgarity Blvd		Mcdonough	GA	30252	Henry	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7702887001	TRUE	TRUE	English	Mon 9:00 am - 3:00 pm	 Info: BY APPOINTMENT ONLY
Hickory Flat Library	AARP 	34.1702843	-84.4217529	2740 E Cherokee Dr		Canton	GA	30115	Cherokee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8004242277	TRUE	TRUE	English	Mon 10:00 am - 2:00 pm 	"Info: DUE TO THE PRESIDENTIAL PREFERENCE PRIMARY, NO TAXES WILL BE PREPARED AT THIS SITE ON FEBRUARY 27 AND MARCH 5."
Hunter Park Community Center	AARP 	33.7405566	-84.7716491	8830 Gurley Rd		Douglasville	GA	30134	Douglas	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7709203007	TRUE	TRUE	English	Fri 9:00 am - 1:00 pm	" Info: Please bring all tax paper work including Social Security card, official ID with picture(ex: driver's license) and last year's tax return. Documentation for Health Insurance required."
Jefferson First United Methodist Church	AARP 	34.120684	-83.5736431	188 Martin St		Jefferson	GA	30549	Jackson	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7065495251	TRUE	TRUE	English	Fri 12:30 pm - 4:00 pm	
Kroc Center Of Augusta	AARP 	33.48504	-81.9949774	1833 Broad St		Augusta	GA	30904	Richmond	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	7069220171	TRUE	TRUE	English	"Tues, Sat 9:00 am - 2:00 pm"	" Info: Site will be closed for taxes on April 5, 2014 due to the unavailabilty of the facility"
Kroger Store Athens	AARP 	33.913612	-83.44635	1720 Epps Bridge Pkwy		Athens	GA	30606	Oconee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Wed - Sat 9:00 am - 1:00 pm	
Lucky Shoals Park	AARP 	33.8822027	-84.197999	4651 Britt Rd		Norcross	GA	30093	Gwinnett	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE		TRUE	FALSE		TRUE	TRUE	English	"Mon, Wed 9:00am - 1:00 pm"	
Mary Vinson Memorial Library	AARP 	33.0808284	-83.2252195	151 S Jefferson St Se		Milledgeville	GA	31061	Baldwin	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4784520677	TRUE	TRUE	English	Thurs 9:00 am - 2:00 pm	
Monroewalton County Library	AARP 	33.7942303	-83.7163869	217 W Spring St		Monroe	GA	30655	Walton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Thurs 1:00 pm - 5:00 pm	
Morrow City Hall	AARP 	33.583656	-84.340797	1500 Morrow Rd		Morrow	GA	30260	Clayton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Thurs 10:00 am - 2:00 pm	
Mountain View Library	AARP 	34.0313838	-84.4668683	3320 Sandy Plains Rd		Marietta	GA	30066	Cobb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7705092725	TRUE	TRUE	English	Thurs 11:30 am - 3:30 pm	" Info: NO RETURN STARTED AFTER 3 PM CLOSED THURSDAY FEBRUARY 12, 2015"
Newnan Coweta Public Library	AARP 	33.3877999	-84.8175544	25 Hospital Rd		Newnan	GA	30263	Coweta	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7702524264	TRUE	TRUE	English	Wed-Thurs 9:30 am - 2:30 pm	
Newton County Library	AARP 	33.599433	-83.839118	7116 Floyd St Ne		Covington	GA	30014	Newton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7707873231	TRUE	TRUE	English	Wed-Thurs 10:00 am - 1:00 pm	
Newtown Park Place	AARP 	34.0212518	-84.2668017	3125 Old Alabama Rd		Johns Creek	GA	30022	Fulton	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	TRUE	6785123430	TRUE		English	Thurs 10:00 am - 1:00 pm	 Info: Call to schedule an hourly appointment.
Northlake Library	AARP 	33.841747	-84.261207	3772 Lavista Rd		Tucker	GA	30084	DeKalb	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4046794408	TRUE	TRUE	English	"Mon, Thurs - Fri 10:30 am - 2:30 pm"	
Oconee County Library	AARP 	33.867103	-83.413696	1080 Experiment Station Rd		Watkinsville	GA	30677	Oconee	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Mon 1:00 pm - 4:30 pm	" Info: Mondays, Feb 3 through April 14"
Oglethorpe County Public Library	AARP 	33.8853111	-83.1252823	858 Athens Rd		Lexington	GA	30648	Oglethorpe	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	Call for hours.	"Site Open 10AM to 4PM on the following days only. February 11,18,25 March 11,18 April 8"
Paulding Cnty Community/Sr Center	AARP 	33.942447	-84.81668	54 Industrial Way N		Dallas	GA	30132	Paulding	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7704438873	TRUE	TRUE	English	Mon 9:00 am - 1:00 pm 	"Info: Please bring all tax paper work including Social Security card, official ID with picture(ex: driver's license) and last year's tax return."
Peachtree City United Methodist	AARP 	33.4153012	-84.5578133	225 Robinson Rd		Peachtree City	GA	30269	Fayette	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	7704876499	TRUE	TRUE	English	Mon - Tues 9:00 am - 1:00 pm	
Perry Volunteer Outreach	AARP 	32.457935	-83.735778	733 Carroll St		Perry	GA	31069	Houston	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE		TRUE	TRUE	English	"Wed 12:00 pm - 3:00 pm, Sat 9:00 am - 12:00 pm"	
Pickens County Library	AARP 	34.4739101	-84.4215678	100 Library Ln		Jasper	GA	30143	Pickens	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	8004242277	TRUE	TRUE	English	Thurs 9:30 am - 1:30 pm	
Reddock Senior Citizens Center	AARP 	32.1865538	-83.1784719	824 Griffin Ave		Eastman	GA	31023	Dodge	FALSE	2/1/15 0:00	4/15/15 0:00	TRUE	10/1/14 0:00	TRUE	FALSE	4783747255	TRUE	TRUE	English	Tues 10:00 am - 3:00 pm	
